GNF-Pf identifier,JC_XSMILES,Qualifier,PF proliferation inhibition 3D7 EC50 uM
GNF-Pf-2988,CC(C)(C)C1=CC=C(C=C1)C(=O)NCCCCNC2=CC=NC3=CC(Cl)=CC=C23,,0.1765
GNF-Pf-2989,CC(C)NC(=O)N1CCN(CC1C)C(=O)C(CC2=CNC3=CC=CC=C23)NC(=O)NC4=CC=CC(=C4)C#N,,0.0567
GNF-Pf-299,CCC(N1C=C(N=N1)C(=O)NCCCN2CCC(C)CC2)C3=CC=C(F)C=C3,,0.651
GNF-Pf-2990,COC1=CC=C(C=C1)C2=CC(C(=O)NC3=CC(OC4=CC=C(NC(C)=O)C=C4)=CC(=C3)[N+]([O-])=O)=C5C=CC=CC5=N2,,12.5
GNF-Pf-2991,CC1=CC=C(C=C1)C2=NN3C(O)=C4CCCCC4=NC3=C2,,1.603
GNF-Pf-2992,CCOC(=O)C1=CC=C(NC(=O)C2=CC(=NC3=CC=C(C)C=C23)C4=CC=CC=C4)C=C1,,12.5
GNF-Pf-2993,COC1=CC=CC=C1NC2=CC(=NS(=O)(=O)C3=CC=C(F)C=C3)C4=CC=CC=C4C2=O,,0.375
GNF-Pf-2995,CC1=CC=CC2=C1NC(=O)C(=C2)C(N3CCCC4(CCCCC4)C3)C5=NN=NN5C6CCCC6,,1.25
GNF-Pf-2996,CC(CCC=C(C)CCC=C(C)C)NCCN1CCNCC1,,0.411
GNF-Pf-2997,CC1=NOC(C2=CC=C(O)C=C2O)=C1C3=CC=C4OCCCOC4=C3,,0.47
GNF-Pf-2998,COC1=CC=C2N=C(C)C=C(NC3=CC=C(C=C3)N4CCN(C)CC4)C2=C1,,0.0832
GNF-Pf-2999,O=C1CN(CCC2=CNC3=CC=CC=C23)C(=O)[C@H]4CC5=C(NC6=CC=CC=C56)C(CCC7=CC=CC=C7)N14,,1.354
GNF-Pf-3,CCN1C(\C=CC2=CC(OC)=CC=C12)=C\C3=[N+](CCO)C4=CC(=CC=C4S3)C5=CC=CC=C5,,0.487
GNF-Pf-30,CCCOC(=O)C1=C(NC(=O)C2=C(I)C=NN2C)SC3=C1CCCCC3,,1.24
GNF-Pf-300,[O-][N+](=O)C1=CC(=CC=C1SCC(=O)NCC=C)C(=O)NC2=CC=C(Cl)C=C2F,,1.169
GNF-Pf-3000,CCC1=CC=CC=C1N2C(=O)C3=CC=CC=C3N=C2C(C)N(C)C(=O)\C=C\C4=CC=C(C=C4)[N+]([O-])=O,,0.2665
GNF-Pf-3001,CCOC1=CC=C2N=CC(=C(N3CCN(C)CC3)C2=C1)S(=O)(=O)C4=CC=C(OC)C=C4,,0.1002
GNF-Pf-3002,CSC1=NC(=NC2=CC=CC=C2C)C3(CCC(CC3)C(C)(C)C)N1C4=CC=C(O)C=C4,,0.2428
GNF-Pf-3003,CN(C(C)=O)C1=C(N2CCCCCC2)C(=O)C3=CC=CC=C3C1=O,,0.0358
GNF-Pf-3005,CC1=NC2=C(C)C(=NN2C(O)=C1C)C3=CC=CC=C3,,1.021
GNF-Pf-3006,NC1=NC=C(Br)C=C1S(=O)(=O)NCCC(=O)N2CCC(=CC2)C3=CC=CC=C3,,0.384
GNF-Pf-3007,CO[C@@H]([C@@H]1CC2=CC3=CC(O[C@H]4C[C@@H](O[C@@H]5C[C@@H](O)[C@@H](O)[C@@H](C)O5)[C@@H](O)[C@H](C)O4)=C(C)C(O)=C3C(O)=C2C(=O)[C@H]1O[C@H]6C[C@@H](O[C@H]7C[C@@H](O[C@H]8C[C@](C)(O)[C@@H](O)[C@H](C)O8)[C@H](O)[C@@H](C)O7)[C@H](O)[C@H](C)O6)C(=O)[C@@H](O)[C@@H](C)O,,0.497
GNF-Pf-3008,O=C(NCCC1=CC=CC=C1)C2=CN=C(NCCCN3C=CN=C3)N=C2NCC4CCCCC4,,0.0914
GNF-Pf-3009,FC1=CC=C(C=C1)C(CCNC2=NC=NC3=C2NC4=CC=CC=C34)C5=CC=CO5,,0.2159
GNF-Pf-301,CC(C)CCOC(=O)C1=C(C)NC(C)=C(C1C2=CC=CC=C2)C(=O)OCCC(C)C,,0.918
GNF-Pf-3010,CC1=CC=CC(C)=C1NC(=O)CN2C(=O)C(C)(C)OC3=CC=C(C=C23)C(=O)NC(C)(C)C,,9.24
GNF-Pf-3011,COC1=CC=C(NC2=NC(NN=CC3=CC(Br)=C(O)C=C3O)=NC(NC4=CC=C(C=C4)[N+]([O-])=O)=N2)C=C1,,0.075
GNF-Pf-3012,CN1CCN(CC1)C2=CC(C)=C3C=C(NC(=O)NC4=CC=CC=C4Cl)C=CC3=N2,,3.098
GNF-Pf-3013,CCOC(=O)C1=C(O)C2=C(OC)C=CC=C2N=C1C3=CC=C4OCOC4=C3,,0.215
GNF-Pf-3014,CCCCCC1=CC=C(C=C1)C(=O)N(C)CCCNC2=CC=NC3=CC(Cl)=CC=C23,,0.2497
GNF-Pf-3015,CN(CCCNC1=CC=NC2=CC(Cl)=CC=C12)S(=O)(=O)C3=CC(Cl)=CC=C3Cl,,0.398
GNF-Pf-3016,CC1=CC=C(OCC(=O)NC2=CC=CC(=C2)C3=NC4=NC=CC=C4O3)C=C1C,,1.898
GNF-Pf-3017,CCN1CCN(CC1)C2=CC(C)=C3C=C(NC(=O)C=CC4=CC=CC(Cl)=C4)C=CC3=N2,,0.824
GNF-Pf-3018,CC(=O)NC(CO)C(O)C1=CC=C(C=C1)[N+]([O-])=O,,9.72
GNF-Pf-3019,CCCCNC(=O)C(CC)SC1=NN=C(C2=CC=C(C)C=C2)C(=N1)C3=CC=C(C)C=C3,,0.471
GNF-Pf-302,COC1=CC(NC(C)CCCN(CC2=CC=C(F)C=C2)C(=O)NC3=CC=C(Br)C=C3)=C4N=CC=CC4=C1,,0.927
GNF-Pf-3020,CN(C)C1=C(N(C(C)=O)C2=CC=CC(Cl)=C2)C(=O)C3=CC=CC=C3C1=O,,0.02727
GNF-Pf-3021,CSC1=CC=CC(=C1)[C@@H]2C[C@H]3CN(C(=O)[C@]34CCCN24)C5=CC=CC=C5,,1.208
GNF-Pf-3022,CC1CCN(CC1)C(=O)C2=CC=C(C=C2)N3C(C)=CC=C3C,,5.12
GNF-Pf-3023,N1C=C(C=NNC2=NC3=CC=CC=C3N2)C4=CC=CC=C14,,0.33
GNF-Pf-3024,CN(CCCNC1=CC=NC2=CC(Cl)=CC=C12)C(=O)C3CCC3,,0.1915
GNF-Pf-3025,OC1=CC=CC=C1C(=O)NC(=O)C=CC2=CC=C(Br)C=C2,,0.684
GNF-Pf-3026,CCOC1=CC=C(CCN2C(CC(=O)NC3=CC=C(C=C3)C(=O)OC)C(=O)N(C2=S)C4=CC=CC(=C4)C(F)(F)F)C=C1OCC,,1.736
GNF-Pf-3027,O=C(NC1=CC=C(C=C1)C2=NC3=CC(NC(=O)C=CC4=CC=CC=C4)=CC=C3N2)C=CC5=CC=CC=C5,,0.056
GNF-Pf-3028,CCCCCCC1=CC=C(C=C1)C(=O)N(C)CCCNC2=CC=NC3=CC(Cl)=CC=C23,,0.67
GNF-Pf-3029,CCCN1N=C(NS(C)(=O)=O)C2=CC3=CC=CC(C)=C3N=C12,,9.1
GNF-Pf-303,CC1=CC=C2N=C(NC3=NC(O)=C4C=CC=CC4=N3)N=C(C)C2=C1,,0.575
GNF-Pf-3030,COC1=CC=C2C(=O)CC(O)(OC2=C1)C(F)(F)C(F)(F)F,,0.442
GNF-Pf-3032,CCN(CC)S(=O)(=O)C1=CC=C(C=C1)C(=O)C2=C(C)C(C(=O)C(F)(F)F)=C3C=CC=CN23,,3.148
GNF-Pf-3034,COC1=CC(NCCCC(C)NC2=CC=NC3=CC4=CC=CC=C4C=C23)=C5N=CC=CC5=C1,,0.0835
GNF-Pf-3036,COC1=CC(=CC(OC)=C1O)C2=NC(=C(N2)C3=CC=CC(=C3)C(F)(F)F)C4=CC=CC=C4,,0.622
GNF-Pf-3037,O=C(NC1=CC=C(C=C1)C2=NC3=CC(NC(=O)C4=CC=CS4)=CC=C3N2)C5=CC=CS5,,1.546
GNF-Pf-3038,CC(C)C1=CC=C(C=CC(=O)NCC2=CC=CO2)C=C1,,1.479
GNF-Pf-3039,CN(C)C1=CC=C(C=C1)\C=C2\SC(NC2=O)=NC3=CC=CC=C3,,0.109
GNF-Pf-304,O=C(C1=CC=CS1)\C(=C\NC2CCN(CC2)CC3=CC=CC=C3)C#N,,0.2203
GNF-Pf-3040,O=C1N(CC2=CC=C3OCOC3=C2)C=NC4=C1NC5=CC=CC=C45,,12.5
GNF-Pf-3041,CC1=C(SC(=N1)C2=CC=C[N+](C)=C2)C(=O)\C=C\C3=CC=C(Cl)C=C3,,0.2828
GNF-Pf-3042,CC1=NC=C(N1CCOC(=O)C2=C(NC(=O)C3=CC=CC=C3)SC4=C2CCCC4)[N+]([O-])=O,,2.604
GNF-Pf-3043,CCOC1=CC=C2N=C3C=C(NCC4=CC=CO4)C=CC3=C(N)C2=C1,,0.846
GNF-Pf-3044,FC(F)(F)C1=CC=C(C=C1)C2=NC(=CS2)C34CC5CC(CC(C5)C3)C4,,1.568
GNF-Pf-3045,CCN(CC)CCCNC(=S)N(CCN(C)C)CC1=CC2=CC(C)=CC(C)=C2NC1=O,,2.421
GNF-Pf-3046,ClC1=CC=C(SCC(=O)NN=C2C(=O)NC3=CC=CC=C23)C=C1,,12.5
GNF-Pf-3047,CCOC(=O)C1=C(C)N(C2=CC=CC=C2)C3=CC=C(OC(=O)C4=CC=CC=C4NC(=O)C(C)C)C=C13,,0.885
GNF-Pf-3048,CC(C)C(=O)O[C@H]([C@H]1C[C@@H]2CCN1C[C@@H]2C=C)C3=CC=NC4=CC=CC=C34,,0.318
GNF-Pf-3049,CN(C(C)=O)C1=C(N2CCCC2)C(=O)C3=CC=CC=C3C1=O,,0.516
GNF-Pf-305,CCOCCCN(C(C(=O)NC1CCCCC1)C2=CC=NC=C2)C(=O)C(F)(F)F,,1.873
GNF-Pf-3050,COC1=CC=C(C=C1OC)C=C2N=C(N(C2=O)C3=CC=CC=C3)C4=CC=C(Cl)C=C4,,12.5
GNF-Pf-3051,CC1=CC=C(C=C1)C(=O)NNC2=NC(NC3=CC=CC=C3)=NC(=N2)N4CCCC4,,12.5
GNF-Pf-3052,CCC(COC)NC(=O)C1=CN(C=C(C(=O)NC(C)(C)C)C1=O)C2CCCCC2,,2.903
GNF-Pf-3053,COC(=O)C1=CN(N=N1)[C@@H]2C[C@H](N(C2)C3CCN(CC3)CC4=CC=CC=C4)C(=O)NCC5=CC=CC(=C5)C(F)(F)F,,1.521
GNF-Pf-3054,CCOC(=O)CCCSC1=NC(=CC(=C1C#N)C(F)(F)F)C2=CC=CS2,,0.352
GNF-Pf-3055,COC1=CC=C(NC(=O)C2=CC3=CC(=CC=C3O2)C4(O)CCN(CC4)CC(C)C5=CC=CC=C5)C=C1,,2.4
GNF-Pf-3056,COC(C)(C)CNCC1=CC2=CC3=C(CCC3)C=C2N(CC4=CC=CC(=C4)C(F)(F)F)C1=O,,1.25
GNF-Pf-3057,COC1=CC=CC(=C1)C2=CN3C(SC4=CC(=CC=C34)C(=O)NC5CCN(CC5)CC6=CC=CC=C6)=N2,,0.513
GNF-Pf-3058,CN(C)S(=O)(=O)C1=CC=C(C=C1)C(=O)NC2=NC3=C(S2)C=CC4=CC=CC=C34,,9.47
GNF-Pf-3059,CCC1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)NC(C)(C)C#C,,3.031
GNF-Pf-306,COC1=CC=C(C=C1OC)C2=CN=C3C=CC(NC4CCOCC4)=NN23,,0.933
GNF-Pf-3060,CCCC1=CC=C(C=C1)C(=O)NC(=O)C2=CC=CC=C2O,,0.1928
GNF-Pf-3061,CC(=O)N(C=C1SC2=CC=CC=C2C1=O)C3=CC=C(C)C=C3,,10.68
GNF-Pf-3062,CC1=CC=CC(NC(=O)C2=CC=C(N3CC4CC(C3)C5=CC=CC(=O)N5C4)C(NC(=O)CC6=C(F)C=CC=C6Cl)=C2)=N1,,1.45
GNF-Pf-3063,CC(C)C1N(C)C2=CC=C(C3=C2C(CC(CO)NC1=O)=CN3)C(C)(CCC=C(C)C)C=C,,0.552
GNF-Pf-3064,COC1=CC=CC(C=NNC(=O)CSC2=CC=CC=C2C)=C1O,,7.94
GNF-Pf-3066,COC1=CC=C(C=C1)S(=O)(=O)N(C)CCCNC2=CC=NC3=CC(Cl)=CC=C23,,0.1154
GNF-Pf-3067,OC(=O)CC(N1CCS(=O)(=O)CC1)C2=CC=C3OCOC3=C2,,1.25
GNF-Pf-3068,CN(CCCNC1=CC=NC2=CC(Cl)=CC=C12)S(=O)(=O)C3=CC=C(C=C3)[N+]([O-])=O,,0.2395
GNF-Pf-3069,CC1CN(CC(C)O1)C2CC(=O)N(C2=O)C3=CC=CC=C3,,0.873
GNF-Pf-3070,CC1=C(C(C2=CC=CC(=C2)[N+]([O-])=O)C3=C(CCCC3=O)N1)C(=O)OC4CCCCC4,,1.64
GNF-Pf-3071,O=C(CN1CCCC1)NC2=CC=C(CC3=CC=C(NC(=O)CN4CCCC4)C=C3)C=C2,,0.3069
GNF-Pf-3072,CNC1CC2OC(C)(C1OC)N3C4=CC=CC=C4C5=C6C(O)NC(=O)C6=C7C8=CC=CC=C8N2C7=C35,,0.1904
GNF-Pf-3073,CC(=O)C1=CC=CC(CN2CCC(CC2)C(=O)NC3=CC=C(C=C3)N4N=C(C)C=C4C)=C1,,2.157
GNF-Pf-3074,O=C1NC(=S)NC1=CC2=CC=CC(OC3=CC=CC=C3)=C2,,6.89
GNF-Pf-3075,CCOC(=O)C1=C(C)N(CCC(=O)NC2=CC=CC=C2N3CCN(C)CC3)C(=C1)C4=CC=CC=C4,,0.794
GNF-Pf-3076,CC1=CC=CC(NC(=O)C2=CC(Cl)=NC3=CC=CC=C23)=C1,,3.67
GNF-Pf-3077,O=C(CC1=CC=CS1)N2CCN(CC2)C3=CC=CC=N3,,3.95
GNF-Pf-3078,CC(CNC(=O)C1=CC=CC=C1)C(=O)OCC(=O)[C@@]23OC(C)(C)O[C@@H]2CC4C5CCC6=CC(=O)C=C[C@]6(C)[C@@]5(F)[C@@H](O)C[C@]34C,,0.1649
GNF-Pf-3079,COC1=CC(OC)=C(NC(=O)C2=CC=C(N3CC4CC(C3)C5=CC=CC(=O)N5C4)C(=C2)[N+]([O-])=O)C=C1Cl,,9.69
GNF-Pf-308,FC(F)(F)C1=CC=CC(NC2=NC3=NON=C3N=C2NC4=CC=C(Cl)C=C4)=C1,,1.312
GNF-Pf-3082,N1C2=CC=CC=C2N=C1C3=CC=CC(=N3)C4=NC5=CC=CC=C5N4,,0.686
GNF-Pf-3083,CN(CCCNC1=CC=NC2=CC(Cl)=CC=C12)C(=O)C(C)(C)CCl,,0.0949
GNF-Pf-3084,CC1=CC(=NC(NCC2=CC=CC=C2)=N1)N3CCCCC3,,5.76
GNF-Pf-3085,S=C(NN=CC=NNC(=S)NC1=CC=CC=C1)NC2=CC=CC=C2,,1.036
GNF-Pf-3086,CC1=CC=C(OCCCCCCNCCO)C(C)=C1,,1.969
GNF-Pf-3087,CCCC(C)C(N1[C@@H](CCC(O)=O)C(=O)NC2=CC=C(NC(C)=O)C=C2C1=O)C(=O)NC3=C(C)C=CC=C3C,,1.461
GNF-Pf-3088,CC(OC1=CC=C(Cl)C=C1Cl)C(=O)C2=CN(N=N2)C3=CC=C(C=C3)C(C)=O,,0.0729
GNF-Pf-3089,CCOC1=CC=C(C=C1[N+]([O-])=O)C(=O)CN2C(=O)C(OC3=CC=CC=C3C2=O)C(C)C,,12.5
GNF-Pf-309,CC(C)CNC(=O)C1=CN=C(NCCCN2C=CN=C2)N=C1NCC(C)C,,0.768
GNF-Pf-3090,FC(F)(F)C1=CC=C(C=C1)C=C2NC(=S)NC2=O,,12.5
GNF-Pf-3091,CCOC1=CC=C(C=C1)S(=O)(=O)N=C2C=C(NC3=CC=C(O)C=C3)C(=O)C4=CC=CC=C24,,0.1578
GNF-Pf-3092,[O-][N+](=O)C1=CC=C(O1)C=CC2=NC3=CC=CC=C3C(=O)N2C4=CC=C(Br)C=C4,,12.26
GNF-Pf-3093,C=CCNC1=CC(=NC(=N1)C2=CC=CC=N2)C3=CC=CC=N3,,0.1252
GNF-Pf-3094,COC1=CC2=C(C=C1OC)C3=NC(=NN3C(NCC4=CC=CC=N4)=N2)C5=CC=CC=C5,,3.77
GNF-Pf-3095,CCOC(=O)C1=C(CC)NC2=C(C1C3=CC=C(C=C3)N(C)C)C(=O)CCC2,,8.7
GNF-Pf-3096,COC1=CC=C(Cl)C=C1NC(=O)CSC2=C(C#N)C(C3=CC=CC=C3)C(=C(C)N2)C(=O)NC4=CC=CC=C4,,3.76
GNF-Pf-3097,CC(=O)NC1=CC=C2CCCCC2=C1,,1.131
GNF-Pf-3098,COC(=O)C1=C(ON=C1C2=C(F)C=CC=C2Cl)\C=C\NC3=CC=CC=C3,,0.2718
GNF-Pf-3099,O=C1NC(=S)N\C1=C\C2=CC=CC(OC3=CC=CC=C3)=C2,,1.885
GNF-Pf-31,COC1=CC=C2N=CC=C([C@H](OC(=O)C3=CC(=CC(=C3)[N+]([O-])=O)[N+]([O-])=O)C4CC5CCN4CC5C=C)C2=C1,,1.3
GNF-Pf-310,CC1CC(C)CN(C1)C2=CC=C(C=C2C3=NN=NN3)[N+]([O-])=O,,0.831
GNF-Pf-3100,CSC1=NN=C(NC(=O)C2CC2)S1,,12.5
GNF-Pf-3101,CC1=CC=C(O1)C(N(C(=O)CN2N=NC3=CC=CC=C23)C4=CC=C(C=C4)S(=O)(=O)NCC5CCCO5)C(=O)NC6CCCCC6,,12.29
GNF-Pf-3102,CC(N1CCN(CC1)C(=O)C(C)(C)C)C2=NC3=CC=CC=C3C(=O)N2C,,0.1847
GNF-Pf-3103,CCOC1=CC(=CC(OCC)=C1OCC)C(=O)NC2=CC=C(C=C2)C3=NC4=CC=CC=C4N3,,0.2294
GNF-Pf-3104,ClC1=CC=C(C=C1)C=c2SC3=NC4=CC=CC=C4n3c2=O,,0.436
GNF-Pf-3105,COC1=CC=CC(CNCCCCCCCCCCCCNCC2=CC=CC(OC)=C2O)=C1O,,0.819
GNF-Pf-3107,O=C(CSC1=NC2=CC=CC=C2C(=O)N1CCCN3CCOCC3)NC4=CC=CC(=C4)S(=O)(=O)N5CCCCCC5,,0.47
GNF-Pf-3108,BrC1=CC=C(C=C1)C2=CC3=C(N=N2)C4=CC=CC=C4C3=O,,2.499
GNF-Pf-3109,CCCC(=O)OC1=CC=CC=C1C2=C(NC(C)(C)CC(C)(C)C)N3C=CC(C)=CC3=N2,,3.55
GNF-Pf-311,CN(C)C1=NC2=NON=C2N=C1NC3=CC=C(C)C(Cl)=C3,,1.458
GNF-Pf-3110,COC1=CC=C(C=C1)n2c(CNC(=O)C3=CC=CC4=CC=CC=C34)n[nH]c2=S,,1.103
GNF-Pf-3111,OC1=CC=C(C=NNC(=O)C2=CC=NC=C2)C(O)=C1,,4.75
GNF-Pf-3112,OC(CN1CCC(C1)NC(=O)CC2=CSC=C2)CN(CC3=CC=CC=C3)S(=O)(=O)C4=CC=CC=C4,,0.411
GNF-Pf-3113,[O-][N+](=O)C1=CC=C(C=C1)C(=O)C2C(C(=O)C3=CC=C(F)C=C3)C6(C4C=CC5=CC=CC=C5N24)C(=O)NC7=CC=CC=C67,,0.622
GNF-Pf-3114,COC1=CC=C2N=C(C)C=C(NC3=CC=C(Br)C=C3)C2=C1,,0.2008
GNF-Pf-3115,CC[N+]1=C(C)C=C2C(SC3=CC=CC=C23)=C1C,,1.048
GNF-Pf-3116,CC1=NN(CC(=O)N2CCOC3=C(OCCC4=CC=CC=N4)C=C(C=C3C2)C5=CSC6=CC=CC=C56)C=C1,,0.823
GNF-Pf-3117,CC1=NC2=NC(C)=NN2C(NC3=CC(Cl)=CC(Cl)=C3)=C1,,1.328
GNF-Pf-3118,ClC1=NC=NC2=C1N(CC3=CC=CC=C3)C=N2,,1.647
GNF-Pf-312,CC1=CC=C(C=C1)N2C(=O)CC(NCCCN3CCOCC3)C2=O,,1.292
GNF-Pf-3120,CCCC1=CC(=C(O)C=C1OC)C2=C(C(C)=NO2)C3=CC=C(O3)C(=O)OCC,,0.413
GNF-Pf-3121,CN1C(=O)NC(=O)C2=C1N=C(N3CCCCCC3)N2CC(O)COC4=CC=C(C=C4)[N+]([O-])=O,,12.5
GNF-Pf-3122,OC(=O)C=CC(=O)N(C1CCCCC1)C2CCCCC2,,12.5
GNF-Pf-3123,FC1=CC=CC=C1NC2=NC(NCC3CCCO3)=C4C=CC=CC4=N2,,0.669
GNF-Pf-3124,CCCCCOC(=O)C1=C(C)NC2=C(C1C3=CC=NC=C3)C(=O)CC(C)(C)C2,,5.19
GNF-Pf-3126,CN(C)C1=C(N(C(C)=O)C2=CC(C)=CC(C)=C2)C(=O)C3=CC=CC=C3C1=O,,0.02299
GNF-Pf-3127,COC1=CC=CC(CCOC2=CC=C3NC(=O)C(CO)N(C(C(=O)NC(C)(C)C)C4=CC=CC(OC)=C4)C(=O)C3=C2)=C1,,0.1527
GNF-Pf-3128,CCCCN1CC2=CC=C(C=C2N=C1C3CC3)C(N)=O,,0.062
GNF-Pf-3129,CC1CCCC(NC(=O)C2N(CC3COC4=CC=CC=C4O3)C(=O)C5C(C6OC25C=C6)C(=O)NC7=CC=CC(C)=C7)C1C,,8.07
GNF-Pf-313,COC(C1=CC=CC=C1)C(=NO)C2=CC=C(Cl)C=C2,,0.912
GNF-Pf-3130,CC1=NC(=CS1)C23CC4CC(CC(C4)C2)C3,,12.5
GNF-Pf-3131,COC1=CC=CC(=C1)C2=NC3=C(OC)C=CC(OC)=C3C=C2CNCC(C)(C)CN(C)C,,0.2436
GNF-Pf-3132,COC1=CC=C(C=C1)N2C(=O)C3=C(SC4=C3CCN(C)C4)N=C2SC(C)C,,2.209
GNF-Pf-3133,CC(C)CC1=CC=C(C=C1)C2=CSC(NC(=O)C3C4CCC(C4)C3C(O)=O)=N2,,0.772
GNF-Pf-3134,COC(=O)COC1=CC=C(C=C1)C=C2SC(NC2=O)=NC3=CC=C(F)C=C3,,12.5
GNF-Pf-3135,CC1=CC=C(N2N=NN=C2SCC3=NC(=NO3)C4=CC=CC(=C4)[N+]([O-])=O)C(C)=C1,,4.69
GNF-Pf-3136,NC1=NC(SCC(=O)C2=CC=C(C=C2)[N+]([O-])=O)=C(C#N)C(C3=CC=CC=C3)=C1C#N,,4.81
GNF-Pf-3137,O=S(=O)(OC1=CC=C2C=CC=CC2=C1CC3=C(OS(=O)(=O)C4=CC=CC=C4)C=CC5=CC=CC=C35)C6=CC=CC=C6,,12.5
GNF-Pf-3138,CC(=O)NC1=CC=C(C=C1)S(=O)(=O)NC2[C@]3(C)CCC(C3)C2(C)C,,1.25
GNF-Pf-3139,CCCCCCCCC(=O)N(C)CCCNC1=CC=NC2=CC(Cl)=CC=C12,,0.321
GNF-Pf-314,COC1=CC=C(C=C1)C2C(C(=O)NCCN(C)C)C3=CC=CC=C3C(=O)N2C4CCCCC4,,0.427
GNF-Pf-3140,CC1=CC=CC(=C1)C2=NC3=CC(NC(=S)NC(=O)C4=CC=C(Cl)C=C4)=CC=C3O2,,1.658
GNF-Pf-3141,CCCS(=O)(=O)C1=C2C=CC(=CN2C(C(=O)C3=CC=C(C)C=C3)=C1S(=O)(=O)CCC)C(C)=O,,12.5
GNF-Pf-3142,CCOC(=O)CCC(=O)OC1=CC(=NN1C2=CC=C(Cl)C(Cl)=C2)C(C)(C)C,,1.232
GNF-Pf-3143,CN(C)C1=CC=C(C=C1)C=C2SC(=N)N(C3=NC=CS3)C2=O,,5.05
GNF-Pf-3144,CCN1CCC(CC1)NCCC(C2=CC=CC=C2)C3=CC=CC=C3,,0.2802
GNF-Pf-3145,OCCSC1=NC(=NC2=CC=C(F)C=C12)C3=CC=CC=C3,,1.25
GNF-Pf-3146,CC1=CC(C)=CC(NCC(O)CN2C3=CC=C(Cl)C=C3C4=CC(Cl)=CC=C24)=C1,,2.216
GNF-Pf-3147,ClC1=CC=C(C=C1Cl)C(=O)NC2=CC=C(C=C2)C3=NC4=CC=CC=C4N3,,0.523
GNF-Pf-3149,O=C(NC1=CN=C2C=CC=CC2=C1)C3=CC=CC(=C3)N4C=NN=N4,,0.1737
GNF-Pf-315,CC1=CC(C=C2SC(=S)N(CC(O)=O)C2=O)=C(C)N1C3=CC=CC=C3,,8.22
GNF-Pf-3150,CC1=NC2=CC=C(NC(=O)C3CC3)C=C2C(=O)N1CC4=CC=C(Cl)C=C4,,1.171
GNF-Pf-3151,CSC1=CC=C(NC(=O)N2CCCN3C=CC=C3C2C4=CC=C(C=C4)C(F)(F)F)C=C1,,3.99
GNF-Pf-3152,COC(=O)C1=C(C)NC2=C(C1C3=CC=C(OCC#N)C(OC)=C3)C(=O)C4=CC=CC=C24,,0.59
GNF-Pf-3153,CC(NC1=CC=CC=C1)C(=O)NC2=CC(=CC=C2Cl)C(F)(F)F,,1.221
GNF-Pf-3154,C1CCN(CC1)C2=CC=C(NC3=CC=NC4=CC5=CC=CC=C5C=C34)C=C2,,0.743
GNF-Pf-3155,CC1=CC(=C(C)N1C2=CC=CC=C2F)C(=O)CSC3=NC4=C(C(=O)N3CC=C)C5=C(CCCC5)S4,,1.25
GNF-Pf-3156,CC1CCCCN1CCCN(CC2=C3C=CC=CC3=CC4=CC=CC=C24)C(=O)C5=CC=CC=C5Cl,,0.878
GNF-Pf-3157,CC1=CC2=C(S1)N=C(SCC(=O)NC3=CC=CC=C3C)N(CC=C)C2=O,,4.28
GNF-Pf-3158,CCOC(=O)C1=CC=C(NC(=O)C2=CC=C3N=C(NC(=O)C4=CC=C(C=C4)C(=O)OC)SC3=C2)C=C1,,6.51
GNF-Pf-3159,COC1=CC=C(C=C1N2C(=O)C3C(C2=O)C5(C4=CC=CC=C4)C(=O)C3(C6=CC=CC=C6)C(C7=CC=C(C)C=C7)=C5C8=CC=C(C)C=C8)C(C)=O,,2.464
GNF-Pf-316,CCCN1CCN(CC1)C(=O)CCNC(=O)CN2C=NC3=CC=CC=C3C2=O,,1.25
GNF-Pf-3161,N#CC1=CC=CC=C1N2CCCCC2,,10.8
GNF-Pf-3162,COC1=CC=C(OC)C(=C1)C(N(C(=O)C2=C(N)C(=NS2)C(N)=O)C3=CC=CC=C3OC)C(=O)NC4CCCC4,,2.535
GNF-Pf-3163,CC1=CC(C)=C(NC(=S)N(CCCN2CCCCC2)CC3=CC=CS3)C(C)=C1,,1.535
GNF-Pf-3164,O=C(C1CCN(CC1)C2=NN=NN2C3=CC=CC=C3)N4CCC5=CC=CC=C5C4,,1.298
GNF-Pf-3166,OC1=CC=C(Br)C(=C1)C(NC2=CC=CC=N2)C3=CC=C4C=CC=NC4=C3O,,0.555
GNF-Pf-3167,CC1=CC2=C(NC3=C(C(N2)C4=CC=CC=C4F)C(=O)CC(C)(C)C3)C=C1C,,1.646
GNF-Pf-3168,C[N+](C)(C)C1=NC(=NC(=N1)N2CCOCC2)N(C3=CC=CC=C3)C4=CC=CC=C4,,0.0632
GNF-Pf-3169,CC1=C(N2C=CC=CC2=N1)C3(O)C(=O)NC4=C3C=C(Cl)C=C4Cl,,0.449
GNF-Pf-317,O[C@@H]1CN(CC[C@H]1C2=CC=CC=C2)C(=O)CC3=NNC(=O)C4C=CC=CC34,,0.853
GNF-Pf-3170,CC1=NC2=CC=C(Br)C=C2C(O)=C1CC=C,,1.605
GNF-Pf-3171,CCOC(=O)C1(CCN(CC1)CC2=CC=CC(C)=N2)CC3CCCCO3,,8.37
GNF-Pf-3172,COC1=CC=C2C3=CC=C(OC)C=C3C(=NNC(N)=N)C2=C1,,0.1231
