GNF-Pf identifier,JC_XSMILES,Qualifier,PF proliferation inhibition 3D7 EC50 uM
GNF-Pf-3301,[O-][N+](=O)C1=CC=C(C=C1)C=NN2CCN(CC2)CC3=CC=CC=C3Cl,,7.22
GNF-Pf-3302,COC1=CC(=CC=C1OCC2=CC=CC=C2)C=C(C#N)C3=NC4=CC=CC=C4N3,,0.766
GNF-Pf-3383,COC1=CC=CC(NC2=NC(NCCO)=C3C=CC=CC3=N2)=C1,,0.1146
GNF-Pf-3397,CCOC1=CC=C2N=C(C)C=C(NC3=CC=CC(O)=C3)C2=C1,,0.2008
GNF-Pf-3400,OCCNC1=NC(NC2=CC=CC(O)=C2)=NC3=CC=CC=C13,,0.2034
GNF-Pf-3461,COC1=CC=CC(NC(=O)C2=CC=C(NCCCC3CCCCCC3)C(=C2)[N+]([O-])=O)=C1,,0.2259
GNF-Pf-3479,CCCN(CCC)CCCNC1=CC=C(C=C1[N+]([O-])=O)C(=O)NC2=CC=CC(OC)=C2,,0.1588
GNF-Pf-3485,OC(CN1C2=CC=CC=C2C3=CC=CC=C13)C[N+]4=CC=CC5=CC=CC(O)=C45,,0.1988
GNF-Pf-3493,OCCNC1=NC(NC2=CC=CC=C2)=NC3=CC=CC=C13,,0.1666
GNF-Pf-35,CC1CCCC(NC(=O)C2N(CCCN3CCOCC3)C(=O)C4C(C5OC24C=C5)C(=O)NC6=CC=C(C)C(Cl)=C6)C1C,,1.633
GNF-Pf-3539,ClC1=CC=CC(NC2=NC(NCC3=CC=CO3)=C4C=CC=CC4=N2)=C1,,0.1116
GNF-Pf-3594,CN(C)CCNC1=CC(C)=NC2=CC=C(C)C=C12,,0.36
GNF-Pf-3611,CC1(C)N=C(N)N=C(N)N1C2=CC=CC=C2,,0.1743
GNF-Pf-3618,CCOC1=CC=C(NC2=CC(C)=NC3=C(C)C=C(C)C=C23)C=C1,,0.484
GNF-Pf-3695,COC1=CC=CC=C1NC2=NC(NCC3=CC=CC=C3)=C4C=CC=CC4=N2,,0.3119
GNF-Pf-3718,CCCCCN(CCCCC)C(O)C1=CC2=C(CCCC2)C3=CC=CC=C13,,0.0582
GNF-Pf-3723,CN1CCN(CC1)C2=NC(NC3=CC=C(O)C=C3)=NC4=CC=CC=C24,,0.626
GNF-Pf-3760,CC1=CC=C(CN2C(=N)N(CC(O)C3=CC=C(Cl)C(Cl)=C3)C4=CC=CC=C24)C=C1,,0.1074
GNF-Pf-3768,O[C@]1(CN2CCC1CC2)C3=CC4=CC=CC=C4S3,,0.177
GNF-Pf-3823,COC1=CC=CC=C1C(N2CCN(C)CC2)C3=NN=NN3CC4=CC=C(F)C=C4,,11.88
GNF-Pf-3839,NC(=N)C1=CC=C(OCCCOC2=CC=C(C=C2)C(N)=N)C=C1,,0.0755
GNF-Pf-4000,CCOC(=O)C1=CN=C2C=CC(C)=CC2=C1NCCCN3CCOCC3,,0.9
GNF-Pf-4012,FC1=CC=C(NC2=NC(NCC3=CC=CO3)=C4C=CC=CC4=N2)C=C1,,0.191
GNF-Pf-4076,ClC1=CC=C2N(CC3=CC=CC=C3)C(=NC2=C1)N4CCNCC4,,0.049
GNF-Pf-4102,COC1=CC2=NC(NC3=CC=C(F)C=C3)=NC(N)=C2C=C1OC,,0.1174
GNF-Pf-4111,OCCNC1=NC(NC2=CC=C(F)C=C2)=NC3=CC=CC=C13,,0.223
GNF-Pf-412,CC1=CC=C(C)C(NC2=NC(NCC3=CC=CO3)=C4C=CC=CC4=N2)=C1,,0.2981
GNF-Pf-415,COC1=CC=C(NC2=NC(NCC3=CC=CO3)=C4C=CC=CC4=N2)C=C1,,0.2526
GNF-Pf-4202,COC1=CC=C2N=C(C)C=C(NC3=CC=CC(O)=C3)C2=C1,,0.2284
GNF-Pf-4223,CCCN(CCC)C(=O)CN1C=CC(=N)C2=CC=CC=C12,,1.195
GNF-Pf-4240,OC(CN1C(=N)N(CC2=CC=CC=C2)C3=CC=CC=C13)C4=CC=C(Cl)C(Cl)=C4,,0.214
GNF-Pf-429,C1CCN(CC1)CC2=CC=C(C=C2)C3=CC4=CC=CC=C4C5=NCCN35,,0.2783
GNF-Pf-4293,COC1=CC=C(CCNC2(CC(C)N(C)CC2C)CC3=CC=CC=C3)C=C1OC,,0.62
GNF-Pf-4298,CCCCN1C(=N)N(CC(O)C2=CC=C(Br)C=C2)C3=CC=CC=C13,,0.466
GNF-Pf-4301,CC1=CC=C(C)C(NC2=NC(NCC3=CC=CC=C3)=C4C=CC=CC4=N2)=C1,,0.2459
GNF-Pf-4303,CCN(CC)CC1=CC(=CC(CC=C)=C1O)C2=CC(CC=C)=C(O)C(CN(CC)CC)=C2,,0.2731
GNF-Pf-4309,CCCC(N1CCN(CC1)C(=O)C2=CC=CO2)C3=NN=NN3C4CCCCC4,,1.333
GNF-Pf-433,[O-][N+](=O)C1=CC=C(C=C1)N2CCN(CC2)C3=NC(NCCC4=CNC5=CC=CC=C45)=C6C=CC=CC6=N3,,0.1706
